device,hours_to_purchase
Web,134
Android,267
Android,169
Android,47
Web,180
iOS,162
iOS,136
iOS,170
Android,120
iOS,20
Android,295
iOS,219
Android,145
Android,279
Android,218
Android,122
Android,211
Web,75
Android,308
Web,304
iOS,224
iOS,191
iOS,270
Android,57
iOS,301
Android,294
Web,254
Android,184
Android,168
Android,308
iOS,315
Android,67
Android,26
Android,60
Web,187
iOS,208
iOS,67
Android,232
Android,244
iOS,119
Android,334
Web,3
iOS,109
iOS,14
Android,131
Android,26
Android,146
iOS,190
Android,171
iOS,64
iOS,143
iOS,234
Web,119
Android,4
iOS,150
Android,83
Android,121
Web,148
Android,21
Android,316
Web,190
Android,274
iOS,164
iOS,342
iOS,38
Android,233
Web,18
Android,286
iOS,287
iOS,67
iOS,99
Android,241
iOS,192
Web,39
Android,331
Android,273
Android,137
Web,188
iOS,194
iOS,136
iOS,307
iOS,149
Android,99
Web,67
iOS,340
Web,57
iOS,17
Web,304
Android,9
Web,312
iOS,320
Web,120
Android,260
iOS,302
Android,36
Android,193
Android,73
Android,146
Android,150
Android,194
Android,146
iOS,126
iOS,307
Android,166
Android,213
Android,145
Android,147
Android,270
Android,70
Android,30
Web,99
Android,95
Web,288
Web,98
Android,142
Android,215
Android,57
iOS,20
Android,19
Android,69
iOS,184
Android,123
Android,272
Android,116
Android,98
Web,336
iOS,225
iOS,135
Android,194
Web,157
Web,123
Android,313
Web,192
Android,239
Android,98
iOS,48
Web,307
iOS,298
Android,49
Web,313
Android,335
iOS,266
iOS,6
iOS,38
Android,86
Android,26
iOS,22
Web,65
Android,292
Web,193
Web,67
Web,340
Android,142
Web,240
Android,30
iOS,109
Web,282
Android,137
Web,89
Android,136
Android,213
iOS,333
iOS,111
Web,136
Android,241
Android,315
Web,212
Android,239
Android,148
Web,339
Android,2
iOS,137
Web,269
Android,146
Android,68
Web,187
Android,140
iOS,310
Android,170
Android,9
Android,55
Web,175
Web,68
Android,212
Android,157
Android,51
iOS,93
Android,233
iOS,26
iOS,224
Web,185
Android,177
Android,64
iOS,282
Android,39
Web,278
Android,116
Android,206
iOS,325
Android,46
iOS,146
iOS,49
iOS,341
Web,292
Android,327
iOS,231
iOS,176
iOS,118
Android,172
Android,138
Android,221
Android,23
iOS,151
Android,148
Android,15
Android,29
iOS,145
Web,339
Web,132
iOS,21
Android,88
iOS,285
Android,138
Web,189
Android,16
iOS,152
Android,274
iOS,188
iOS,47
iOS,122
Android,141
Android,132
Android,264
Android,5
iOS,90
Android,308
Android,310
Android,67
Android,142
Web,332
iOS,167
iOS,9
Web,129
Android,167
iOS,193
iOS,282
iOS,34
Web,58
iOS,259
Android,75
Android,304
Android,328
Android,53
iOS,332
Android,141
iOS,197
iOS,335
Android,117
Android,140
iOS,37
Web,94
Web,166
Android,52
Web,309
Android,235
Android,182
Web,62
iOS,67
Android,69
Android,191
iOS,156
Android,307
Web,283
Android,216
iOS,29
Android,243
iOS,143
Android,194
iOS,166
iOS,95
Web,191
Web,85
iOS,162
Android,265
Android,120
iOS,146
Android,275
iOS,293
Web,286
Android,335
iOS,243
iOS,334
Android,333
iOS,67
Web,69
iOS,271
Android,224
Android,320
Android,323
Android,329
iOS,237
iOS,6
iOS,89
iOS,347
Web,42
Android,244
Android,253
iOS,337
Android,23
iOS,188
Android,311
iOS,235
Web,239
Web,285
Android,87
Android,218
Android,308
iOS,119
Android,141
Android,150
Android,127
Web,191
Android,178
iOS,336
Web,97
iOS,119
Web,84
iOS,3
Android,176
Android,283
Web,34
Android,106
